Title,Name,Type.of.name,Role,All.names,Dates.associated.with.name,Date.of.publication ,Country.of.publication,Place.of.publication,City,Colony.Name,Continent,Publisher,Edition,Languages,Type.of.resource,Content.type,Material type,Uniform title,﻿BL.record.ID,URL,BL shelfmark,ARK,,
"Narrative of the operations of a detachment in an expedition to Candy, in the island of Ceylon, in ... 1804, etc","Johnston, Arthur",person,N/A,"Johnston, Arthur, 1778-1824 [person]",1778-1824,1810,England,London,Unspecified,Ceylon,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814671,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000052788,Digital Store 981.c.16. (1.),ark:/81055/vdc_000000052788,N/A,N/A
"The Stranger in India: or, Three years in Calcutta","Johnson, George William",person,N/A,"Johnson, George William, 1802-1886 [person]",1802-1886,1843,England,London,Unspecified,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814636,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005348A,Digital Store 1425.d.15,ark:/81055/vdc_00000005348A,N/A,N/A
"The Black Police. A story of modern Australia, etc","Vogan, Arthur James",person,N/A,"Vogan, Arthur James [person]",N/A,1891,England,London,Unspecified,Australia,Oceania,Hutchinson,N/A,English,Monograph,Text,Online resource,N/A,014831464,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000047142,Digital Store 012631.h.65,ark:/81055/vdc_000000047142,N/A,N/A
The Adventures of George Washington Pratt. A story of the New Zealand gold-fields,"Pyke, Vincent",person,N/A,"Pyke, Vincent [person]",N/A,1890,England,London,Unspecified,New Zealand,Oceania,Hutchinson,N/A,English,Monograph,Text,Online resource,N/A,014827867,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000469C8,Digital Store 012631.h.58,ark:/81055/vdc_0000000469C8,N/A,N/A
A Decade in Borneo,"Pryer, Ada",person,N/A,"Pryer, Ada [person]",N/A,1894,England,London,Unspecified,Borneo,Asia,Hutchinson,Another Edition,English,Monograph,Text,Online resource,N/A,014827812,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034B3C,Digital Store 10055.df.22,ark:/81055/vdc_000000034B3C,N/A,N/A
Round the Compass in Australia [Illustrated.],"Parker, Gilbert",person,N/A,"Parker, Gilbert, 1862-1932 [person]",1862-1932,1892,England,London,Unspecified,Australia,Oceania,Hutchinson,N/A,English,Monograph,Text,Online resource,N/A,014880128,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000168C6,Digital Store 10491.ee.26,ark:/81055/vdc_0000000168C6,N/A,N/A
The Coming Colony. Practical notes on Western Australia,"Mennell, Philip",person,N/A,"Mennell, Philip [person]",N/A,1894,England,London,Unspecified,Australia,Oceania,Hutchinson,N/A,English,Monograph,Text,Online resource,N/A,014885557,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000015DEC,Digital Store 10492.d.27,ark:/81055/vdc_000000015DEC,N/A,N/A
My Cousin from Australia,"Everett-Green, Evelyn",person,N/A,"Everett-Green, Evelyn, 1856-1932 [person]",1856-1932,1894,England,London,Unspecified,Australia,Oceania,Hutchinson,N/A,English,Monograph,Text,Online resource,N/A,014812139,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000040F9E,Digital Store 012629.ee.55,ark:/81055/vdc_000000040F9E,N/A,N/A
"History of the Hawaiian or Sandwich Islands, from the earliest traditionary period to the present time","Jarves, James Jackson",person,N/A,"Jarves, James Jackson [person]",N/A,1843,United States of America,Boston,Unspecified,Sandwich Islands,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,014885440,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001820A,Digital Store 1446.c.9,ark:/81055/vdc_00000001820A,N/A,N/A
"History of the Hawaiian or Sandwich Islands, from the earliest traditionary period to the present time","Jarves, James Jackson",person,N/A,"Whitney, Henry M. (Henry Martyn), 1824-1904 [person] ; Jarves, James Jackson, 1818-1888 [person]",1818-1888,1872,Hawaii,Honolulu,Unspecified,Sandwich Islands,America,N/A,Fourth Edition,English,Monograph,Text,Online resource,N/A,015174036,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000255A2,Digital Store 9605.cc.3,ark:/81055/vdc_0000000255A2,N/A,N/A
