Title,Name,Type.of.name,Role,All.names,Dates.associated.with.name,Date.of.publication ,Country.of.publication,Place.of.publication,City,Colony.Name,Continent,Publisher,Edition,Languages,Type.of.resource,Content.type,Material type,Uniform title,﻿BL.record.ID,URL,BL shelfmark,ARK,,
"Hadden's Journal and Orderly Books. A Journal kept in Canada and upon Burgoyne's campaign in 1776 and 1777. ... Also orders ... issued by Sir G. Carleton, Lieut. General J. Burgoyne. ... With ... notes by H. Rogers [With lithographed facsimiles.]","Hadden, James M.",person,N/A,"Hadden, James M. [person] ; Rogers, Horatio [person]",N/A,1884,United States of America,"Albany, New York",Unspecified,"British Columbia, Canada",America,Joel Munsell's,N/A,English,Monograph,Text,Online resource,N/A,015106012,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000023BF8,Digital Store 9604.bb.1,ark:/81055/vdc_000000023BF8,N/A,N/A
"The British Invasion from the North. The campaigns of Generals Carleton and Burgoyne from Canada, 1776-1777, with the Journal of Lieut. William Digby ... Illustrated with historical notes by James Phinney Baxter [With introduction and notes. With plates.]","Digby, William",person,N/A,"Digby, William, active 1776 [person] ; Baxter, James Phinney, the Elder [person] ; Carleton, Guy, Baron Dorchester [person] ; Burgoyne, John, Right Honourable [person]",1776-,1887,United States of America,"Albany, New York",Unspecified,"British Columbia, Canada",America,Joel Munsell's,Another Edition,English,Monograph,Text,Online resource,N/A,015174006,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000025686,Digital Store 9605.dd.4,ark:/81055/vdc_000000025686,N/A,N/A
"Winifred; or, an English maiden in the seventeenth century.[With plates.]",G. L. E.,person,N/A,"G, L. E. [person] ; Guernsey, Lucy Ellen [person]",N/A,1878,England,London,Unspecified,N/A,N/A,John F. Shaw,N/A,English,Monograph,Text,Online resource,N/A,014811341,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000032FE2,Digital Store 12641.bb.3,ark:/81055/vdc_000000032FE2,N/A,N/A
"The Australian Race: its origin, languages, customs, place of landing in Australia, and the routes by which it spread itself over that continent","Curr, Edward Micklethwaite",person,N/A,"Curr, Edward Micklethwaite [person]",N/A,1886,England,"London, Melbourne",Unspecified,Australia,Oceania,John Ferres ; Trübner,N/A,English,Monograph,Text,Online resource,N/A,014879642,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000165A2,Digital Store (10491.ff.7.; 1786.c.),ark:/81055/vdc_0000000165A2,N/A,N/A
"Guernsey and its Bailiwick. A guide and a gossip, with notices of Sark, Herm, Jethou, and Alderney ... Maps, plans, and illustrations.","Pitts, John Linwood",person,N/A,"Pitts, John Linwood [person]",N/A,1890,Guernsey,Guernsey,Unspecified,Isle of Guernsey,Europe,John Gardner,Second Edition,English,Monograph,Text,Online resource,N/A,014823523,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000020AC,Digital Store 10362.pp.26,ark:/81055/vdc_0000000020AC,N/A,N/A
"A Tour to South Africa, with notices of Natal, Mauritius, Madagascar, Ceylon, Egypt and Palestine","Freeman, Joseph John",person,N/A,"Freeman, Joseph John [person]",N/A,1851,England,London,Unspecified,South Africa,Africa,N/A,N/A,English,Monograph,Text,Online resource,N/A,014811233,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059E92,Digital Store 10095.c.37,ark:/81055/vdc_000000059E92,N/A,N/A
"Emigration. Copy of a letter, from Mr. J. F. presiding at Goderich, Lake Huron, Upper Canada ... containing useful information respecting that country","Freeman, John, of Goderich",person,N/A,"Freeman, John, of Goderich, Lake Huron, Upper Canada [person]",N/A,1833,England,Framlingham,Unspecified,"British Columbia, Canada",America,N/A,N/A,English,Monograph,Text,Online resource,N/A,014871744,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012E52,Digital Store 10470.d.14,ark:/81055/vdc_000000012E52,N/A,N/A
"The History of the Island of Guernsey ... from the remotest period of antiquity to the year 1814. Containing an interesting account of the island; its government, civil, military and ecclesiastical; peculiar privileges, customs, etc. With particulars of the neighbouring islands of Alderney, Serk, and Iersey; compiled from the valuable collections of ... Henry Budd ... as well as from authentic documents, etc [With plates and a map.]","Berry, William",person,N/A,"Berry, William, of the College of Arms [person]",N/A,1815,England,London,Unspecified,Isle of Guernsey,Europe,"John Hatchard ; Longman, Hurst, Rees, Orme & Brown",N/A,English,Monograph,Text,Online resource,N/A,015115563,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000024840,Digital Store 9506.dd.19,ark:/81055/vdc_000000024840,N/A,N/A
History of Trinidad,"Fraser, Lionel Mordaunt",person,N/A,"Fraser, Lionel Mordaunt [person]",N/A,1891,Trinidad,Port of Spain,Unspecified,Trinidad,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,015178157,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000025EA2,Digital Store 9770.dd.3,ark:/81055/vdc_000000025EA2,N/A,N/A
"The War in New Zealand ... With ... maps, etc","Fox, William",person,N/A,"Fox, William, Sir [person]",N/A,1866,England,London,Unspecified,New Zealand,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,015246259,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000027834,Digital Store 9781.b.34,ark:/81055/vdc_000000027834,N/A,N/A
"Ashantee and the Gold Coast: being a sketch of the history, social state, and superstitions of the inhabitants of those countries: with a notice of the state and prospects of Christianity among them [With a map.]","Beecham, John",person,N/A,"Beecham, John [person] ; Metcalfe, George Edgar [person]",N/A,1841,England,London,Unspecified,Gold Coast,Africa,John Mason,N/A,English,Monograph,Text,Online resource,N/A,014804950,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003491A,Digital Store 793.f.25,ark:/81055/vdc_00000003491A,N/A,N/A
"A Personal Narrative of a journey to the Source of the river Oxus, by the route of the Indus, Kabul, and Badakhshan, performed ... in the years 1836, 1837 and 1838","Wood, John",person,N/A,"Wood, John, 1811-1871 [person]",1811-1871,1841,England,London,Unspecified,India,Asia,John Murray,N/A,English,Monograph,Text,Online resource,N/A,014832462,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005CC58,Digital Store 1046.e.18,ark:/81055/vdc_00000005CC58,N/A,N/A
South Australia; its progress and its prosperity ... With a map,"Forster, Anthony",person,late Member of the Legislative Council at Adelaide,"Forster, Anthony, late Member of the Legislative Council at Adelaide [person]",N/A,1866,England,London,Unspecified,Australia,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014871726,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012A8C,Digital Store 10492.e.4,ark:/81055/vdc_000000012A8C,N/A,N/A
"Bland Oleandrar och Liljor. Minnen från en sommar på Bermuda eller Somers őar, etc","Forsstrand, Carl",person,N/A,"Forsstrand, Carl [person]",N/A,1895,Sweden,Stockholm,Unspecified,Bermuda,America,N/A,N/A,Swedish,Monograph,Text,Online resource,N/A,014879741,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016722,Digital Store 010480.f.10,ark:/81055/vdc_000000016722,N/A,N/A
A transport voyage to the Mauritius and back; trading at the Cape of Good Hope and St. Helena.,"Walond, R. F.",person,N/A,"Walond, R. F. [person]",N/A,1851,England,London,Unspecified,Cape of Good Hope,Africa,John Murray,N/A,English,Monograph,Text,Online resource,N/A,014831621,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059E74,Digital Store 10095.c.24,ark:/81055/vdc_000000059E74,N/A,N/A
"Adventure in New Zealand, from 1839 to 1844 : with some account of the beginning of the British colonization of the islands","Wakefield, Edward Jerningham",person,N/A,"Wakefield, Edward Jerningham, 1820-1879 [person]",1820-1879,1845,England,London,Unspecified,New Zealand,Oceania,John Murray,N/A,English,Monograph,Text,Online resource,N/A,014831515,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002BCE,Digital Store 1431.d.20-21,ark:/81055/vdc_000000002BCE,N/A,N/A
"Explorations in Australia. ... With an appendix on the condition of Western Australia. ... Illustrations by G. F. Angas. (Governor Weld's Report [on Western Australia, 30 Sep. 1874] to the Earl of Carnarvon.)","Forrest, John, Baron Forrest",person,N/A,"Angas, George French [person] ; Weld, Frederick Aloysius, Sir, g.c.m.g [person] ; Forrest, John, Baron Forrest [person]",N/A,1875,England,London,Unspecified,Australia,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014879740,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016C3E,Digital Store 10491.s.3,ark:/81055/vdc_000000016C3E,N/A,N/A
Adventures amidst the Equatorial Forests and Rivers of South America; also in the West Indies and the wilds of Florida. To which is added 'Jamaica Revisited.' ... With many illustrations and maps,"Stuart, Henry Windsor Villiers",person,N/A,"Stuart, Henry Windsor Villiers, Honourable [person]",N/A,1891,England,London,Unspecified,Jamaica,America,John Murray,N/A,English,Monograph,Text,Online resource,N/A,014872919,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001496A,Digital Store 010480.i.1,ark:/81055/vdc_00000001496A,N/A,N/A
"Among Cannibals. An account of four years' travels in Australia, etc","Lumholtz, Carl",person,N/A,"Lumholtz, Carl [person]",N/A,1889,England,London,Unspecified,Australia,Oceania,John Murray,N/A,English,Monograph,Text,Online resource,N/A,014879978,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016932,Digital Store 10492.ee.17,ark:/81055/vdc_000000016932,N/A,N/A
Five Years in China; from 1842 to 1847. With an account of the occupation of Labuan and Borneo by her Majesty's forces,"Forbes, Frederick Edwyn",person,N/A,"Forbes, Frederick Edwyn [person]",N/A,1848,England,London,Unspecified,Borneo,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014810966,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034A04,Digital Store 10055.d.12,ark:/81055/vdc_000000034A04,N/A,N/A
"Excursions in and about Newfoundland, during the years 1839 and 1840. (General Report of the Geological Survey of Newfoundland, during the years 1839 and 1840.)","Jukes, Joseph Beete",person,N/A,"Jukes, Joseph Beete [person]",N/A,1842,England,London,Unspecified,"British Columbia, Canada",America,John Murray,N/A,English,Monograph,Text,Online resource,N/A,014814785,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000542B2,Digital Store 1431.f.15,ark:/81055/vdc_0000000542B2,N/A,N/A
On the occurrence of stone implements in lateritic formations in various parts of the Madras and North Arcot districts [With a appendix and plates.],"Foote, Robert Bruce",person,N/A,"Foote, Robert Bruce [person]",N/A,1865,India,Madras,Madras,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014756163,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000054FD8,Digital Store 7107.aaa.23,ark:/81055/vdc_000000054FD8,N/A,N/A
"The Queen of the Colonies; or, Queensland as I knew it. By an Eight Years' Resident [E. Thorne]","Thorne, E",person,N/A,"Thorne, E. [person]",N/A,1876,England,London,Unspecified,Queensland,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014872635,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012A86,Digital Store 10492.e.11,ark:/81055/vdc_000000012A86,N/A,N/A
"The Railway Guide of New South Wales ... Containing a map of the Blue Mountains, and numerous illustrations.",unknown,unknown,N/A,N/A,N/A,1884,Australia,Sydney,Unspecified,New South Wales,Oceania,N/A,Second Edition,English,Monograph,Text,Online resource,Appendix,014880080,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016C86,Digital Store 10492.f.31,ark:/81055/vdc_000000016C86,N/A,N/A
"Upper Canada Sketches ... With illustrations, portraits and map","Conant, Thomas",person,N/A,"Conant, Thomas [person]",N/A,1898,Canada,Toronto,Unspecified,"British Columbia, Canada",America,William Briggs,N/A,English,Monograph,Text,Online resource,N/A,014871471,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001365C,Digital Store 010470.ee.2,ark:/81055/vdc_00000001365C,N/A,N/A
"History of the County of Annapolis, including old Port Royal and Acadia, with memoirs of its representatives in the Provincial Parliament ... Edited and completed by A. W. Savary ... With portraits and illustrations. (Supplement to the History of the County of Annapolis. Correcting and supplying omissions in the original volume.","Calnek, William Arthur",person,N/A,"Calnek, William Arthur [person] ; Savary, Alfred William [person]",N/A,1897,Canada,Toronto,Annapolis,"British Columbia, Canada",America,William Briggs,N/A,English,Monograph,Text,Online resource,N/A,014871368,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000013170,Digital Store 10470.ff.7 ; Digital Store 10470.ff.8,ark:/81055/vdc_000000013170,N/A,N/A
"The Rise and Progress of Australia, Tasmania and New Zealand","Purseley, Daniel",person,N/A,"Puseley, Daniel, 1814-1882 [person]",1814-1882,1857,England,London,Unspecified,Australia,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014872531,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000014AC6,Digital Store 10491.d.24,ark:/81055/vdc_000000014AC6,N/A,N/A
Personal Narrative of Travels in the United States and Canada in 1826. Illustrated by plates. With remarks on the present state of the American Navy,"De Roos, John Frederick Fitzgerald",person,N/A,"De Roos, John Frederick Fitzgerald, Honourable [person]",N/A,1827,England,London,Unspecified,"British Columbia, Canada",America,William Harrison Ainsworth,N/A,English,Monograph,Text,Online resource,N/A,014808994,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005BD7C,Digital Store 1052.e.7,ark:/81055/vdc_00000005BD7C,N/A,N/A
"My Fourth Tour in Western Australia ... Illustrated by Walker Hodgson, etc [With a portrait.]","Calvert, Albert Frederick",person,N/A,"Hodgson, Walker [person] ; Calvert, Albert Frederick, 1872-1946 [person]",1872-1946,1897,England,London,Unspecified,Australia,Oceania,William Heinemann,N/A,English,Monograph,Text,Online resource,N/A,014871369,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000013EF6,Digital Store 10491.h.13,ark:/81055/vdc_000000013EF6,N/A,N/A
"The 'Sutlej Gazette.' A journal published on the P. & O. S.S. 'Sutlej,' on her voyage from London to Bombay ... Oct. 6 to 30, 1892",unknown,unknown,N/A,N/A,N/A,1892,India,Bombay,Bombay,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014830438,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034398,Digital Store 10028.h.11,ark:/81055/vdc_000000034398,N/A,N/A
"Te Ika a Maui, or, New Zealand and its Inhabitants ","Taylor, Richard",person,Missionary in New Zealand,"Taylor, Richard, M.A., Missionary in New Zealand [person]",N/A,1870,England,London,Unspecified,New Zealand,Oceania,William Macintosh,Second Edition,English,Monograph,Text,Online resource,N/A,014880375,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016CC8,Digital Store 10492.f.43,ark:/81055/vdc_000000016CC8,N/A,N/A
Twenty-five Years in British Guiana ... With map and illustrations,"Kirke, Henry",person,N/A,"Kirke, Henry [person]",N/A,1898,England,London,Unspecified,Guyana,America,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014872116,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000128A6,Digital Store 10480.e.36,ark:/81055/vdc_0000000128A6,N/A,N/A
"A Political and Historical Account of Lower Canada; with remarks on the present situation of the people, as regards their manners, character, religion &c. By a Canadian [i.e Pierre de La Terrière, the Younger]","Sales La Terrière, Pierre de",person,N/A,"Sales La Terrière, Pierre de, the Younger [person] ; Labouchere, Henry, Baron Taunton [person]",N/A,1830,England,London,Unspecified,"British Columbia, Canada",America,William Marsh & Alfred Miller,N/A,English,Monograph,Text,Online resource,N/A,014806791,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035D42,Digital Store 1304.h.2 ; Digital Store 798.h.7,ark:/81055/vdc_000000035D42,N/A,N/A
"The Far Interior: a narrative of travel and adventure from the Cape of Good Hope across the Zambesi to the lake regions of Central Africa, etc","Kerr, Walter Montague",person,N/A,"Kerr, Walter Montague [person]",N/A,1886,England,London,Unspecified,Cape of Good Hope,Africa,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014815031,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005A2BE,Digital Store 10096.ff.4,ark:/81055/vdc_00000005A2BE,N/A,N/A
"Blacks and Bushrangers. Adventures in Queensland ... With illustrations, etc","Kennedy, Edward B.",person,N/A,"Kennedy, Edward B. [person]",N/A,1889,England,London,Unspecified,Queensland,Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014814967,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004CABE,Digital Store 012632.l.22,ark:/81055/vdc_00000004CABE,N/A,N/A
Pen and pencil sketches: being reminiscences during eighteen years' residence in Bengal ... ,"Hutchisson, W. H. Florio",person,N/A,"Wilson, John, Reverend [person] ; Hutchisson, W. H. Florio [person]",N/A,1883,England,London,Unspecified,India,Asia,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014814097,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000036270,Digital Store 10058.dd.16,ark:/81055/vdc_000000036270,N/A,N/A
A Lady Trader in the Transvaal,"Heckford, Sarah",person,N/A,"Heckford, Sarah, Mrs [person]",N/A,1882,England,London,Unspecified,Transvaal,Africa,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014813047,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005A27C,Digital Store 10097.aaa.40,ark:/81055/vdc_00000005A27C,N/A,N/A
"North Borneo. Explorations and adventures on the Equator ... With biographical sketch and notes by Joseph Hatton, and preface by Sir W. Medhurst ... Illustrated.","Hatton, Frank",person,N/A,"Medhurst, Walter Henry, 1796-1857 [person] ; Hatton, Joseph, 1841-1907 [person] ; Hatton, Frank [person]",N/A,1886,England,London,Unspecified,Borneo,Asia,Sampson Low,Second Edition,English,Monograph,Text,Online resource,N/A,014812894,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034C4A,Digital Store 10055.ee.6,ark:/81055/vdc_000000034C4A,N/A,N/A
Australia twice traversed ... Being a narrative compiled from the Journals of five exploring expeditions ... from 1872 to 1876 ... With maps and illustrations,"Giles, Ernest",person,N/A,"Giles, Ernest, -1897 [person]",-1897,1889,England,London,Unspecified,Australia,Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014871800,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012A6E,Digital Store 10491.ff.11,ark:/81055/vdc_000000012A6E,N/A,N/A
"Ceylon in 1883, etc","Ferguson, John",person,N/A,"Ferguson, John, 1842-1913 [person]",1842-1913,1883,England,London,Unspecified,Ceylon,Asia,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014810529,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B09E,Digital Store 10055.bb.2,ark:/81055/vdc_00000005B09E,N/A,N/A
"Ceylon in 1884 ... Revised, enlarged, and brought down to date from 'Ceylon in 1883.'","Ferguson, John",person,N/A,"Ferguson, John, 1842-1913 [person]",1842-1913,1884,England,London,Unspecified,Ceylon,Asia,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014810530,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000362E2,Digital Store 010058.ee.37,ark:/81055/vdc_0000000362E2,N/A,N/A
"My African home; or, bush life in Natal when a young colony. 1852-7 ... Illustrated","Feilden, Eliza Whigham",person,N/A,"Feilden, Eliza Whigham [person]",N/A,1887,England,London,Unspecified,Natal,Africa,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014839972,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000003FCC,Digital Store 10097.c.13,ark:/81055/vdc_000000003FCC,N/A,N/A
Bombay and Western India. A series of stray papers,"Douglas, James",person,N/A,"Douglas, James, of Bombay [person]",N/A,1893,England,London,Bombay,India,Asia,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014809352,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035B0E,Digital Store 010056.h.10,ark:/81055/vdc_000000035B0E,N/A,N/A
"Tracks of McKinlay and Party across Australia.. Edited from Mr. Davis's manuscript journal; with an introductory view of the recent Australian explorations of McDouall Stuart, Burke and Wills, Landsborough, etc, by William Westgarth ... With map and illustrations [including a portrait.]","Davis, John",person,N/A,"Davis, John, of Adelaide [person] ; Mackinlay, John [person] ; Westgarth, William [person] ; Burke, Robert O'Hara, 1821-1861 [person]",N/A,1863,England,London,Unspecified,Australia,Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014879652,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016E5A,Digital Store 10492.e.3,ark:/81055/vdc_000000016E5A,N/A,N/A
"Digging, Squatting, and Pioneering Life in the Northern Territory of South Australia [With a map.]","Daly, Harriet W.",person,N/A,"Daly, Harriet W. [person]",N/A,1887,England,London,Unspecified,Australia,Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014879648,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000151E0,Digital Store 10492.ee.14,ark:/81055/vdc_0000000151E0,N/A,N/A
"Histoire du Canada, de son église et de ses missions, etc","Brasseur De Bourbourg, Étienne Charles",person,N/A,"Brasseur De Bourbourg, Étienne Charles [person]",N/A,1852,France,Plancy,Unspecified,Canada,America,N/A,N/A,French,Monograph,Text,Online resource,N/A,015105863,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022EC6,Digital Store 9555.d.8,ark:/81055/vdc_000000022EC6,N/A,N/A
"A History of the Island of Cape Breton, with some account of the discovery and settlement of Canada, Nova Scotia, and Newfoundland [With maps.]","Brown, Richard",person,N/A,"Brown, Richard, f.g.s [person]",N/A,1869,England,London,Cape Breton,Canada,America,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,015105869,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022E6C,Digital Store 9555.cc.21,ark:/81055/vdc_000000022E6C,N/A,N/A
New Zealand as it is,"Bradshaw, John, j.p",person,N/A,"Bradshaw, John, j.p [person]",N/A,1883,England,London,Unspecified,New Zealand,Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014879537,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016EA2,Digital Store 10492.g.18,ark:/81055/vdc_000000016EA2,N/A,N/A
New Zealand of to-day. 1884-1887,"Bradshaw, John, j.p",person,N/A,"Bradshaw, John, j.p [person]",N/A,1888,England,London,Unspecified,New Zealand,Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014871298,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012AAA,Digital Store 10492.e.31,ark:/81055/vdc_000000012AAA,N/A,N/A
Outlines of the Geography of the Gold Coast Colony and Protectorate. Compiled for use in the colonial schools,"Bell, Hesketh",person,N/A,"Bell, Hesketh, Sir, 1864-1952 [person]",1864-1952,1894,England,London,Unspecified,Gold Coast,Africa,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,015742628,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000043F2,Digital Store 010097.k.16,ark:/81055/vdc_0000000043F2,N/A,N/A
"Kangaroo and Kauri. Sketches and anecdotes of Australia and New Zealand, etc","Arthur, J. K.",person,author,"Arthur, J. K., author [person]",N/A,1894,England,London,Unspecified,"Australia, New Zealand",Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,014879475,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016BE4,Digital Store 10492.e.17,ark:/81055/vdc_000000016BE4,N/A,N/A
"Bush Fighting. Illustrated by remarkable actions and incidents of the Maori War in New Zealand ... With a map, plans, and woodcuts","Alexander, James Edward, Sir",person,N/A,"Alexander, James Edward, Sir, 1803-1885 [person]",1803-1885,1873,England,London,Unspecified,New Zealand,Oceania,Sampson Low,N/A,English,Monograph,Text,Online resource,N/A,015177956,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000263B2,Digital Store 9781.d.16,ark:/81055/vdc_0000000263B2,N/A,N/A
"Lolóma; or, Two years in cannibal-land. A story of old Fiji","Britton, Henry",person,N/A,"Britton, Henry [person]",N/A,1884,England,"London, Melbourne",Unspecified,Fiji,N/A,Samuel Mullen,N/A,English,Monograph,Text,Online resource,N/A,014805984,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004B804,Digital Store 12636.c.3,ark:/81055/vdc_00000004B804,N/A,N/A
"An Aide-de-Camp's Recollections of Service in China, a residence in Hong Kong, and visits to other islands in the Chinese seas [With plates.]","Cunynghame, Arthur Augustus Thurlow",person,N/A,"Cunynghame, Arthur Augustus Thurlow, Sir, g.c.b [person]",N/A,1844,England,London,Hong Kong,Hong Kong,Asia,Saunders & Otley,N/A,English,Monograph,Text,Online resource,N/A,014896209,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001ADD8,Digital Store 1434.f.19,ark:/81055/vdc_00000001ADD8,N/A,N/A
"A Subaltern's Furlough: descriptive of the scenes in various parts of the United States, Upper and Lower Canada during ... 1832 ... With illustrations [and a map.]","Coke, Edward Thomas",person,N/A,"Coke, Edward Thomas [person]",N/A,1833,England,London,Unspecified,Canada,America,Saunders & Otley,N/A,English,Monograph,Text,Online resource,N/A,014807577,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000523E6,Digital Store 1052.d.8,ark:/81055/vdc_0000000523E6,N/A,N/A
"Antigua and the Antiguans: a full account of the colony and its inhabitants from the time of the Caribs to the present day ... Also, an impartial view of slavery and the free labour systems, etc ",Flanningan,person,N/A,"Flannigan, Mrs [person]",N/A,1844,England,London,Unspecified,Antigua,America,Saunders & Otley,N/A,English,Monograph,Text,Online resource,Appendix,014804077,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000533FA,Digital Store 1304.h.1,ark:/81055/vdc_0000000533FA,N/A,N/A
From Southampton to Calcutta,"Cummerbund, Cadwalladar",person,N/A,"Cummerbund, Cadwalladar, pseudonym [person]",N/A,1860,England,London,Calcutta,India,Asia,Saunders & Otley,N/A,English,Monograph,Text,Online resource,N/A,014808435,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034A4C,Digital Store 10055.bb.34,ark:/81055/vdc_000000034A4C,N/A,N/A
"Guide and Description of the Panorama of New Zealand ... painted under the ... superintendence of S. C. Brees ... from drawings made by him on the spot, etc","Brees, Samuel Charles",person,N/A,"Brees, Samuel Charles [person]",N/A,1849,England,London,Unspecified,New Zealand,Oceania,Savill & Edwards,N/A,English,Monograph,Text,Online resource,N/A,014891041,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000193DA,Digital Store 10491.d.31. (1.),ark:/81055/vdc_0000000193DA,N/A,N/A
Report on the Kolar Gold Field and its southern extension : in which the auriferous rocks are traced from the Mysore State into the Madras Presidency,"Bosworth-Smith, Percy",person,N/A,"Bosworth-Smith, P. (Percy) [person]",N/A,1889,India,Madras,Madras,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014832845,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000052566,Digital Store 7105.g.11,ark:/81055/vdc_000000052566,N/A,N/A
Three Months in Canada and the United States,"Booty, James Horatio",person,N/A,"Booty, James Horatio [person]",N/A,1862,England,London,Unspecified,Canada,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,014839430,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000048C0,Digital Store 10408.ee.20,ark:/81055/vdc_0000000048C0,N/A,N/A
"In the City of Flowers; or, Adelaide's awakening [A tale.]","Marshall, Emma",person,N/A,"Marshall, Emma, 1830-1899 [person]",1830-1899,1889,England,"Guildford, London",Adelaide,Australia,Oceania,Seeley,N/A,English,Monograph,Text,Online resource,N/A,014818572,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000046C62,Digital Store 012632.f.33,ark:/81055/vdc_000000046C62,N/A,N/A
